URL,Name,Submittor(s),Submittor parties,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,PvdD,50PLUS,DENK,SGP,FvD,Krol,Van Kooten-Arissen
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25067&did=2020D52623,begin januari beoordelen of basisonderwijs en kinderopvang eerder dan 18 januari open kunnen,"['Rob Jetten', 'Lodewijk Asscher']","['Democraten 66', 'Partij van de Arbeid']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25072&did=2020D52628,maximale inspanning om zo veel mogelijk kwetsbare gezinnen en kinderen te bereiken,"['Gert-Jan Segers', 'Jesse Klaver']","['ChristenUnie', 'GroenLinks']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25085&did=2020D52641,alle mogelijke slachtoffers van discriminatie door de Belastingdienst een brief sturen,"['Peter Kwint', 'Renske Leijten']","['Socialistische Partij', 'Socialistische Partij']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25087&did=2020D52643,ook compensatie voor partners en kinderen,"['Peter Kwint', 'Renske Leijten']","['Socialistische Partij', 'Socialistische Partij']",,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25088&did=2020D52644,binnen een maand een aanbod aan alle slachtoffers,['Henk Nijboer'],['Partij van de Arbeid'],0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25086&did=2020D52642,een proef met beoordelingen binnen een dag,"['Peter Kwint', 'Renske Leijten']","['Socialistische Partij', 'Socialistische Partij']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25059&did=2020D52615,eenzelfde geldigheidsduur voor het convenant als voor de nieuwe investeringsaftrek,"['Agnes Mulder', 'Matthijs Sienot']","['Christen-Democratisch Appèl', 'Democraten 66']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25057&did=2020D52613,het herstellen van een te lage compensatie,['Sandra Beckerman'],['Socialistische Partij'],,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25056&did=2020D52612,uiterlijk 15 april het onderzoek met een appreciatie aanbieden aan de Kamer,"['Matthijs Sienot', 'Carla Dik-Faber', 'Agnes Mulder', 'Aukje de Vries']","['Democraten 66', 'ChristenUnie', 'Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25058&did=2020D52614,een plan van aanpak voor rechtvaardige compensatie voor iedereen,['Sandra Beckerman'],['Socialistische Partij'],,,,,,,,,,,,,,,
